deck,category,question,option_a,option_b,option_c,option_d,answer,note,source
"Set 2","Screen & sound","Which film first used the famous Wilhelm scream sound effect?","Distant Drums","The Charge at Feather River","King Kong","The Wild Bunch","Distant Drums","The scream was originally recorded for the 1951 film Distant Drums before later receiving its nickname.","https://www.loc.gov/static/programs/national-film-preservation-board/documents/wilhelm-scream.pdf"
"Set 2","Screen & sound","What song does Sam repeatedly play in Casablanca?","Blue Moon","As Time Goes By","It Had to Be You","Moonlight Becomes You","As Time Goes By","Sam plays Herman Hupfeld's As Time Goes By for Ilsa and later for Rick.","https://www.loc.gov/static/programs/national-film-preservation-board/documents/casablanca.pdf"
"Set 2","Screen & sound","Which 1983 film was the first theatrical release to use the THX sound system?","Scarface","Flashdance","Return of the Jedi","WarGames","Return of the Jedi","THX debuted with Return of the Jedi at the film's 1983 premiere.","https://www.lucasfilm.com/news/thx-40-years/"
"Set 2","Screen & sound","What nickname did the crew give the mechanical shark in Jaws?","Bruce","Buster","Mako","George","Bruce","The Jaws crew called its troublesome mechanical shark Bruce.","https://www.oscars.org/collection-highlights/jaws"
"Set 2","Screen & sound","Which Disney animated feature was the first released in CinemaScope?","Peter Pan","Lady and the Tramp","Sleeping Beauty","One Hundred and One Dalmatians","Lady and the Tramp","Lady and the Tramp became Disney's first animated feature produced in the widescreen CinemaScope format.","https://d23.com/a-to-z/lady-and-the-tramp-film/"
"Set 2","Sports","How far is a soccer penalty mark from the goal line?","10 yards","11 yards","12 yards","15 yards","12 yards","The penalty mark sits 12 yards from the midpoint between the goalposts.","https://www.theifab.com/laws/latest/the-field-of-play/"
"Set 2","Sports","How many double stitches are on a regulation Major League baseball?","88","96","108","120","108","A regulation baseball has 108 double stitches sewn into its cover.","https://www.mlb.com/glossary/rules/baseball"
"Set 2","Sports","How high is the top edge of a regulation basketball rim?","8 feet","9 feet","10 feet","12 feet","10 feet","Basketball rules place the rim 10 feet above the playing floor.","https://official.nba.com/rule-no-1-court-dimensions-equipment/"
"Set 2","Sports","What is the official height of a table-tennis net?","12.25 cm","15.25 cm","17.5 cm","20 cm","15.25 cm","The net assembly must be 15.25 centimeters high along its entire length.","https://www.ittf.com/handbook/"
"Set 2","Sports","How many sides does baseball's home plate have?","Four","Five","Six","Eight","Five","Home plate is a five-sided slab with a 17-inch edge facing the pitcher.","https://www.mlb.com/official-information/official-rules"
"Set 2","Sports","How long may a golfer search for a lost ball under the current rules?","Two minutes","Three minutes","Five minutes","Ten minutes","Three minutes","A ball is lost if it is not found within three minutes after the search begins.","https://www.randa.org/rog/the-rules-of-golf/rule-18"
"Set 2","Sports","What is the maximum number of clubs a golfer may carry during a round?","10","12","14","16","14","The Rules of Golf limit a player to 14 clubs during a round.","https://www.randa.org/rog/the-rules-of-golf/rule-4"
"Set 2","Food & kitchen","A pineapple develops from roughly what structure?","One enlarged berry","Many fused flowers","A swollen root","A hollow stem","Many fused flowers","A pineapple is a multiple fruit formed as many individual flowers fuse together.","https://www.britannica.com/plant/pineapple"
"Set 2","Food & kitchen","Vanilla beans are the fruits of what kind of plant?","A palm","An orchid","A grass","A cactus","An orchid","Commercial vanilla comes from the cured fruits of climbing orchids in the genus Vanilla.","https://www.britannica.com/plant/vanilla-plant"
"Set 2","Food & kitchen","Where does a cashew nut grow on its fruit?","Inside the core","Under the soil","On the outside end","In a cluster of pits","On the outside end","The cashew seed hangs in a shell from the bottom of the fleshy cashew apple.","https://www.britannica.com/plant/cashew"
"Set 2","Food & kitchen","Cream of tartar is a crystalline by-product of making what?","Cheese","Wine","Bread","Vinegar","Wine","Cream of tartar is purified potassium bitartrate deposited during wine fermentation and aging.","https://www.britannica.com/science/cream-of-tartar"
"Set 2","Food & kitchen","What physical test is traditionally used to sort ripe cranberries?","They float in oil","They bounce","They ring when tapped","They stick to steel","They bounce","Sound cranberries bounce, allowing damaged berries to be separated by bounce-board sorters.","https://www.si.edu/stories/why-do-cranberries-bounce"
"Set 2","Food & kitchen","What gives tonic water its characteristic bitterness?","Tannin","Quinine","Citric acid","Juniper oil","Quinine","Tonic water is flavored with the bitter alkaloid quinine.","https://www.britannica.com/science/quinine"
"Set 2","Food & kitchen","Which fruit supplies the enzyme bromelain used as a meat tenderizer?","Papaya","Pineapple","Kiwi","Fig","Pineapple","Pineapple tissues contain bromelain, a mixture of protein-digesting enzymes.","https://www.britannica.com/science/bromelain"
"Set 2","Nature","An owl's eyes are shaped more like what than balls?","Tubes","Discs","Cones","Cubes","Tubes","An owl has elongated, tube-shaped eyes held rigidly in bony structures called sclerotic rings.","https://nationalzoo.si.edu/animals/news/why-owls-turn-their-heads-so-far-around"
"Set 2","Nature","Which marine mammal has the densest fur?","Harbor seal","Sea otter","Walrus","Polar bear","Sea otter","Sea otters can have up to about one million hairs per square inch of fur.","https://www.fisheries.noaa.gov/species/sea-otter"
"Set 2","Nature","Butterflies primarily taste with receptors located where?","On their antennae","On their wings","On their feet","Inside their proboscis","On their feet","Taste receptors on a butterfly's feet help it identify suitable food and host plants.","https://www.si.edu/stories/14-fun-facts-about-butterflies"
"Set 2","Nature","What color can reindeer eyes turn during the Arctic winter?","Blue","Red","Green","White","Blue","Reindeer tapeta change from gold in summer to deep blue in winter to improve low-light sensitivity.","https://www.ucl.ac.uk/news/2013/oct/reindeer-eyes-change-colour-seasons"
"Set 2","Nature","How often does a typical three-toed sloth descend from its tree to defecate?","About daily","About weekly","About monthly","Only after rain","About weekly","Three-toed sloths usually make a risky descent to the forest floor about once a week.","https://www.si.edu/stories/why-do-sloths-leave-trees-poop"
"Set 2","Nature","Which bird has nostrils located near the tip of its bill?","Kiwi","Toucan","Pelican","Albatross","Kiwi","Unlike most birds, kiwis have nostrils near the tip of their long bills.","https://www.doc.govt.nz/nature/native-animals/birds/birds-a-z/kiwi/facts/"
"Set 2","Nature","What is the only venomous primate known to science?","Tarsier","Slow loris","Mandrill","Aye-aye","Slow loris","Slow lorises produce venom from a gland on the upper arm and deliver it through a bite.","https://nationalzoo.si.edu/animals/pygmy-slow-loris"
"Set 2","Science","At sea-level pressure, how hot can a lightning channel become?","About 3,000 C","About 10,000 C","About 30,000 C","About 100,000 C","About 30,000 C","A lightning channel can heat surrounding air to roughly 30,000 degrees Celsius.","https://www.weather.gov/safety/lightning-temperature"
"Set 2","Science","Which element was detected in the Sun before it was found on Earth?","Neon","Helium","Argon","Lithium","Helium","Helium was identified in the Sun's spectrum in 1868 before terrestrial helium was isolated.","https://science.nasa.gov/universe/stars/helium/"
"Set 2","Science","What is the smallest bone in the human body?","Incus","Stapes","Patella","Coccyx","Stapes","The stirrup-shaped stapes in the middle ear is the body's smallest bone.","https://www.nidcd.nih.gov/health/how-do-we-hear"
"Set 2","Science","What is absolute zero on the Celsius scale?","-100 C","-212.15 C","-273.15 C","-459.67 C","-273.15 C","Absolute zero is exactly 0 kelvin, equivalent to -273.15 degrees Celsius.","https://www.nist.gov/pml/owm/si-units-temperature"
"Set 2","Science","What is the temperature of water's triple point?","0 C","0.01 C","1 C","3.98 C","0.01 C","Pure water's solid, liquid, and vapor phases coexist at 0.01 degrees Celsius at the triple point.","https://www.bipm.org/en/measurement-units/si-defining-constants"
"Set 2","Science","Why can no ordinary sound be heard in a vacuum?","Sound becomes ultraviolet","Sound needs matter to carry vibrations","Vacuum absorbs every frequency","Sound travels too quickly","Sound needs matter to carry vibrations","Sound is a mechanical wave and needs particles in a medium to transmit its vibrations.","https://science.nasa.gov/universe/black-holes/sound-of-a-black-hole/"
"Set 2","Science","Roughly how much DNA do humans and chimpanzees share?","About 75 percent","About 88 percent","About 98.8 percent","Exactly 100 percent","About 98.8 percent","Comparisons of directly alignable DNA sequences put human-chimpanzee similarity at about 98.8 percent.","https://humanorigins.si.edu/evidence/genetics"
"Set 2","World","Which country has the world's only national flag not shaped as a quadrilateral?","Bhutan","Nepal","Switzerland","Vatican City","Nepal","Nepal's flag consists of two joined triangular pennants rather than a four-sided field.","https://www.britannica.com/topic/flag-of-Nepal"
"Set 2","World","Which sea has no land coastline?","Arabian Sea","Sargasso Sea","Coral Sea","Tasman Sea","Sargasso Sea","The Sargasso Sea is bounded by rotating Atlantic currents rather than by land.","https://oceanservice.noaa.gov/facts/sargassosea.html"
"Set 2","World","Which country has three official capital cities?","Bolivia","Sri Lanka","South Africa","Tanzania","South Africa","South Africa divides its executive, legislative, and judicial seats among Pretoria, Cape Town, and Bloemfontein.","https://www.gov.za/about-sa/south-africa-glance"
"Set 2","World","What is Bolivia's constitutional capital?","La Paz","Sucre","Santa Cruz","Cochabamba","Sucre","Sucre is Bolivia's constitutional capital, while La Paz is the seat of government.","https://www.britannica.com/place/Bolivia"
"Set 2","World","Which sovereign country is entirely above 1,000 meters in elevation?","Bhutan","Lesotho","Nepal","Andorra","Lesotho","Every part of Lesotho lies above 1,000 meters, giving it the world's highest lowest point.","https://www.britannica.com/place/Lesotho"
"Set 2","World","Which European country shares its longest land border with Brazil?","Portugal","Spain","France","Netherlands","France","French Guiana makes France's border with Brazil longer than any of France's European borders.","https://www.cia.gov/the-world-factbook/countries/france/"
"Set 2","World","Ecuador takes its name from which geographic feature?","The Andes","The equator","The Amazon","The Pacific Ocean","The equator","The country's Spanish name means equator, the line that crosses its territory.","https://www.britannica.com/place/Ecuador"
"Set 2","Books & games","How many letter tiles are in an English-language Scrabble set?","96","98","100","104","100","The standard English Scrabble distribution contains 100 tiles, including two blanks.","https://instructions.hasbro.com/en-us/instruction/scrabble-game"
"Set 2","Books & games","How many possible arrangements does a standard 3-by-3 Rubik's Cube have?","About 43 million","About 43 billion","About 43 trillion","About 43 quintillion","About 43 quintillion","A standard Rubik's Cube has 43,252,003,274,489,856,000 possible configurations.","https://www.rubiks.com/history"
"Set 2","Books & games","Green Eggs and Ham was written using how many different words?","25","50","100","225","50","Dr. Seuss wrote Green Eggs and Ham with a vocabulary of only 50 different words.","https://www.seussville.com/green-eggs-and-ham/"
"Set 2","Books & games","Who illustrated the original published edition of Alice's Adventures in Wonderland?","Arthur Rackham","John Tenniel","Edward Lear","Lewis Carroll","John Tenniel","John Tenniel supplied the 42 illustrations for the 1865 published edition.","https://www.bl.uk/collection-items/alices-adventures-in-wonderland-by-lewis-carroll"
"Set 2","Books & games","In standard Monopoly, what happens when a player rolls doubles three times in one turn?","They collect $200","They lose one property","They go directly to Jail","They roll a fourth time","They go directly to Jail","Three consecutive doubles in one turn send the player immediately to Jail.","https://instructions.hasbro.com/en-us/instruction/monopoly-game"
"Set 2","Books & games","Which chess piece may jump over other pieces?","Bishop","Knight","Rook","Queen","Knight","The knight is the only standard chess piece whose move can pass over intervening pieces.","https://handbook.fide.com/chapter/E012023"
"Set 2","Books & games","What shape is the original Pac-Man character based on?","A pizza missing a slice","A crescent moon","A yellow clock","A cheese wheel","A pizza missing a slice","Creator Toru Iwatani said the character's shape was inspired by a pizza with one slice removed.","https://www.museumofplay.org/games/pac-man/"
"Set 2","Everyday objects","Why do many ballpoint pen caps have a hole through the top?","To keep ink cool","To reduce choking risk","To stop ink leaking","To clip onto string","To reduce choking risk","The hole allows some airflow if the cap is accidentally swallowed and blocks the airway.","https://www.bicworld.com/en/about-us/our-heritage"
"Set 2","Everyday objects","What was the tiny fifth pocket on blue jeans originally designed to hold?","Coins","A pocket watch","Matches","A penknife","A pocket watch","Levi Strauss describes the small pocket as a watch pocket made for pocket watches.","https://www.levistrauss.com/2017/01/20/5-things-you-didnt-know-about-the-watch-pocket/"
"Set 2","Everyday objects","What was the first product scanned with a UPC barcode in a store?","Campbell's soup","Wrigley's gum","Coca-Cola","Tide detergent","Wrigley's gum","A pack of Wrigley's Juicy Fruit gum became the first retail item scanned by UPC in 1974.","https://americanhistory.si.edu/collections/object/nmah_1191369"
"Set 2","Everyday objects","Post-it Notes resulted from an attempt to invent what?","A permanent marker","A very strong adhesive","Carbonless paper","A waterproof label","A very strong adhesive","3M scientist Spencer Silver was trying to make a strong adhesive when he created a weak reusable one.","https://www.3m.com/3M/en_US/post-it/contact-us/about-us/"
"Set 2","Everyday objects","The raised bumps on the F and J keyboard keys identify what?","The widest letters","The home-row position","The oldest keys","The spell-check shortcut","The home-row position","The tactile marks let touch typists locate the home-row index-finger keys without looking.","https://www.microsoft.com/en-us/accessibility/keyboard-guide"
